Date,Short Volume,Total Volume
2017-02-02,47532.0,92058.0
2017-02-01,62003.0,129827.0
2017-01-31,77274.0,143262.0
2017-01-30,121109.0,242401.0
2017-01-27,155278.0,242602.0
2017-01-26,80613.0,163246.0
2017-01-25,36790.0,92377.0
2017-01-24,37683.0,72048.0
2017-01-23,66033.0,117938.0
2017-01-20,48091.0,72432.0
2017-01-19,36548.0,55357.0
2017-01-18,21289.0,34906.0
2017-01-17,28075.0,54029.0
2017-01-13,25304.0,51925.0
2017-01-12,29816.0,52078.0
2017-01-11,32299.0,57966.0
2017-01-10,26932.0,48391.0
2017-01-09,32098.0,63179.0
2017-01-06,66250.0,131840.0
2017-01-05,36264.0,70094.0
2017-01-04,39054.0,67538.0
2017-01-03,53175.0,98171.0
2016-12-30,79454.0,110552.0
2016-12-29,29098.0,59644.0
2016-12-28,39259.0,65894.0
2016-12-27,30710.0,52371.0
2016-12-23,20463.0,32059.0
2016-12-22,39028.0,66426.0
2016-12-21,34048.0,66234.0
2016-12-20,23263.0,45889.0
2016-12-19,43048.0,79870.0
2016-12-16,57235.0,95557.0
2016-12-15,50958.0,93329.0
2016-12-14,62663.0,107381.0
2016-12-13,72246.0,140650.0
2016-12-12,47680.0,83154.0
2016-12-09,81009.0,136415.0
2016-12-08,52185.0,110445.0
2016-12-07,42509.0,102192.0
2016-12-06,47466.0,97380.0
2016-12-05,55284.0,105141.0
2016-12-02,48501.0,114631.0
2016-12-01,90871.0,188922.0
2016-11-30,66785.0,137431.0
2016-11-29,46892.0,84266.0
2016-11-28,92414.0,146782.0
2016-11-25,29859.0,48970.0
2016-11-23,54964.0,88862.0
2016-11-22,39054.0,81694.0
2016-11-21,70181.0,116465.0
2016-11-18,74262.0,130859.0
2016-11-17,40356.0,94272.0
2016-11-16,54614.0,105335.0
2016-11-15,75650.0,169158.0
2016-11-14,84076.0,178004.0
2016-11-11,86033.0,184350.0
2016-11-10,152663.0,310265.0
2016-11-09,97449.0,168688.0
2016-11-08,54566.0,103311.0
2016-11-07,44242.0,93814.0
2016-11-04,66699.0,121094.0
2016-11-03,65834.0,112435.0
2016-11-02,61559.0,127120.0
2016-11-01,83899.0,168203.0
2016-10-31,68690.0,123306.0
2016-10-28,122985.0,265064.0
2016-10-27,66107.0,147507.0
2016-10-26,45926.0,106507.0
2016-10-25,40350.0,99029.0
2016-10-24,39705.0,83970.0
2016-10-21,48635.0,92396.0
2016-10-20,35003.0,72127.0
2016-10-19,40626.0,75980.0
2016-10-18,79937.0,122818.0
2016-10-17,26893.0,46485.0
2016-10-14,39510.0,59121.0
2016-10-13,40038.0,75038.0
2016-10-12,27841.0,52181.0
2016-10-11,50190.0,95614.0
2016-10-10,59455.0,99192.0
2016-10-07,40029.0,72057.0
2016-10-06,37721.0,58377.0
2016-10-05,32026.0,60331.0
2016-10-04,42795.0,84283.0
2016-10-03,44578.0,78342.0
2016-09-30,62044.0,110153.0
2016-09-29,46591.0,88929.0
2016-09-28,42901.0,71673.0
2016-09-27,37606.0,69862.0
2016-09-26,54072.0,104426.0
2016-09-23,60718.0,96636.0
2016-09-22,82795.0,131888.0
2016-09-21,48154.0,93378.0
2016-09-20,32844.0,63845.0
2016-09-19,34246.0,63629.0
2016-09-16,70689.0,130774.0
2016-09-15,80379.0,126325.0
2016-09-14,52463.0,80331.0
2016-09-13,69421.0,107894.0
2016-09-12,76774.0,117228.0
2016-09-09,87842.0,137753.0
2016-09-08,48685.0,103167.0
2016-09-07,36361.0,69782.0
2016-09-06,74538.0,123595.0
2016-09-02,85501.0,132284.0
2016-09-01,38029.0,76128.0
